match_id,event,date,map,map_num,player,agent,rating,acs,kills,deaths,assists,plus_minus,kast,adr,hs_perc,first_kills,first_deaths,plus_minus_f,clutches,role,igl,result,kd_ratio,year
312768,m_1_24,2024-03-22,lotus,2,zellsis,killjoy,1.01,186,14,12,3,2,0.7,108,0.12,2,2,0,0,flex,no,w,1.1666666666666667,2024
312768,m_1_24,2024-03-22,lotus,2,tenz,omen,0.53,119,8,15,8,-7,0.75,78,0.33,1,2,-1,0,controller,no,w,0.5333333333333333,2024
312768,m_1_24,2024-03-22,breeze,3,sacy,sova,1.37,272,15,14,3,1,0.81,173,0.5,2,0,2,0,scan,no,l,1.0714285714285714,2024
312768,m_1_24,2024-03-22,breeze,3,johnqt,cypher,0.79,137,9,12,2,-3,0.63,92,0.42,0,1,-1,0,sentinel,yes,l,0.75,2024
312768,m_1_24,2024-03-22,breeze,3,zellsis,viper,0.71,134,5,13,7,-8,0.5,101,0.35,0,0,0,0,flex,no,l,0.38461538461538464,2024
312768,m_1_24,2024-03-22,breeze,3,zekken,jett,0.58,150,7,15,4,-8,0.69,96,0.25,3,7,-4,0,duelist,no,l,0.4666666666666667,2024
312768,m_1_24,2024-03-22,breeze,3,tenz,kayo,0.19,87,4,16,9,-12,0.75,53,0.13,1,2,-1,0,controller,no,l,0.25,2024
312768,m_1_24,2024-03-23,lotus,1,zekken,raze,1.58,326,32,16,2,16,0.85,205,0.27,8,4,4,0,duelist,no,w,2.0,2024
312768,m_1_24,2024-03-23,lotus,1,tenz,omen,1.39,271,25,16,15,9,0.77,167,0.44,1,0,1,0,controller,no,w,1.5625,2024
312768,m_1_24,2024-03-23,lotus,1,johnqt,viper,1.3,211,19,13,14,6,0.81,133,0.22,2,1,1,1,sentinel,yes,w,1.4615384615384615,2024
312768,m_1_24,2024-03-23,lotus,1,sacy,fade,0.87,158,13,17,14,-4,0.81,110,0.21,1,2,-1,0,scan,no,w,0.7647058823529411,2024
312768,m_1_24,2024-03-23,lotus,1,zellsis,killjoy,0.81,169,13,18,8,-5,0.77,114,0.15,4,3,1,0,flex,no,w,0.7222222222222222,2024
312768,m_1_24,2024-03-23,ascent,2,zekken,jett,1.71,351,25,10,3,15,0.74,223,0.32,5,5,0,0,duelist,no,w,2.5,2024
312768,m_1_24,2024-03-23,ascent,2,tenz,omen,1.28,225,16,11,13,5,0.74,140,0.35,4,1,3,1,controller,no,w,1.4545454545454546,2024
312768,m_1_24,2024-03-23,ascent,2,sacy,sova,1.26,216,14,10,6,4,0.84,133,0.18,1,1,0,0,scan,no,w,1.4,2024
312768,m_1_24,2024-03-23,ascent,2,johnqt,killjoy,1.26,176,13,8,4,5,0.84,120,0.16,1,0,1,1,sentinel,yes,w,1.625,2024
312768,m_1_24,2024-03-23,ascent,2,zellsis,kayo,0.9,131,7,12,19,-5,0.68,82,0.13,1,0,1,0,flex,no,w,0.5833333333333334,2024
312768,m_1_24,2024-03-23,split,3,zekken,raze,0.85,238,13,17,6,-4,0.67,172,0.25,0,4,-4,0,duelist,no,l,0.7647058823529411,2024
312768,m_1_24,2024-03-23,split,3,sacy,skye,0.8,177,12,16,7,-4,0.67,100,0.29,2,4,-2,1,scan,no,l,0.75,2024
312768,m_1_24,2024-03-23,split,3,zellsis,viper,0.8,181,11,15,3,-4,0.5,109,0.19,0,3,-3,1,flex,no,l,0.7333333333333333,2024
312768,m_1_24,2024-03-23,split,3,johnqt,cypher,0.7,163,9,15,2,-6,0.67,107,0.23,2,1,1,0,sentinel,yes,l,0.6,2024
312768,m_1_24,2024-03-23,split,3,tenz,omen,0.52,179,10,18,7,-8,0.72,119,0.29,0,2,-2,0,controller,no,l,0.5555555555555556,2024
312768,m_1_24,2024-03-23,sunset,4,tenz,omen,1.97,345,22,9,10,13,0.94,214,0.42,3,0,3,1,controller,no,w,2.4444444444444446,2024
312768,m_1_24,2024-03-23,sunset,4,johnqt,cypher,1.43,247,15,8,4,7,0.94,153,0.28,2,0,2,1,sentinel,yes,w,1.875,2024
312768,m_1_24,2024-03-23,sunset,4,zekken,raze,1.25,318,18,12,2,6,0.81,192,0.21,5,3,2,0,duelist,no,w,1.5,2024
312768,m_1_24,2024-03-23,sunset,4,zellsis,kayo,1.19,205,11,8,12,3,0.94,126,0.17,1,0,1,0,flex,no,w,1.375,2024
312768,m_1_24,2024-03-23,sunset,4,sacy,gekko,1.03,138,8,6,8,2,0.88,78,0.21,1,1,0,0,scan,no,w,1.3333333333333333,2024
312768,m_1_24,2024-03-24,breeze,1,tenz,kayo,1.24,235,16,15,12,1,0.76,141,0.28,3,0,3,1,controller,no,l,1.0666666666666667,2024
312768,m_1_24,2024-03-24,breeze,1,zekken,jett,1.2,260,20,16,3,4,0.67,152,0.29,7,4,3,0,duelist,no,l,1.25,2024
312768,m_1_24,2024-03-24,breeze,1,zellsis,viper,0.88,164,12,14,5,-2,0.62,106,0.3,1,0,1,0,flex,no,l,0.8571428571428571,2024
312768,m_1_24,2024-03-24,breeze,1,johnqt,cypher,0.75,164,12,15,3,-3,0.71,102,0.28,3,2,1,0,sentinel,yes,l,0.8,2024
312768,m_1_24,2024-03-24,breeze,1,sacy,sova,0.68,161,12,16,2,-4,0.67,104,0.24,1,0,1,0,scan,no,l,0.75,2024
312768,m_1_24,2024-03-24,bind,2,sacy,skye,1.38,245,23,18,14,5,0.73,154,0.27,4,1,3,0,scan,no,w,1.2777777777777777,2024
312768,m_1_24,2024-03-24,bind,2,zellsis,brimstone,1.11,175,15,15,19,0,0.81,118,0.26,1,2,-1,1,flex,no,w,1.0,2024
312768,m_1_24,2024-03-24,bind,2,zekken,raze,1.02,253,21,21,7,0,0.85,168,0.13,6,3,3,0,duelist,no,w,1.0,2024
312768,m_1_24,2024-03-24,bind,2,tenz,gekko,0.95,178,16,18,9,-2,0.73,110,0.28,4,3,1,0,controller,no,w,0.8888888888888888,2024
312768,m_1_24,2024-03-24,bind,2,johnqt,viper,0.89,144,13,15,7,-2,0.77,94,0.24,1,1,0,0,sentinel,yes,w,0.8666666666666667,2024
312768,m_1_24,2024-03-24,ascent,3,tenz,omen,1.21,225,19,16,6,3,0.76,151,0.4,1,2,-1,1,controller,no,l,1.1875,2024
312768,m_1_24,2024-03-24,ascent,3,sacy,sova,1.04,191,12,15,8,-3,0.71,133,0.19,2,0,2,0,scan,no,l,0.8,2024
312768,m_1_24,2024-03-24,ascent,3,zekken,jett,1.03,251,19,18,5,1,0.62,157,0.23,4,4,0,0,duelist,no,l,1.0555555555555556,2024
312768,m_1_24,2024-03-24,ascent,3,johnqt,killjoy,0.89,164,12,14,4,-2,0.76,122,0.15,2,2,0,0,sentinel,yes,l,0.8571428571428571,2024
312768,m_1_24,2024-03-24,ascent,3,zellsis,kayo,0.62,141,9,16,12,-7,0.76,92,0.19,1,3,-2,0,flex,no,l,0.5625,2024
312768,m_1_24,2024-03-24,split,4,zekken,raze,1.73,366,29,16,10,13,0.83,240,0.24,4,4,0,1,duelist,no,w,1.8125,2024
312768,m_1_24,2024-03-24,split,4,johnqt,cypher,1.33,228,19,14,11,5,0.87,148,0.29,1,0,1,1,sentinel,yes,w,1.3571428571428572,2024
312768,m_1_24,2024-03-24,split,4,tenz,omen,1.08,189,16,15,11,1,0.87,113,0.46,2,3,-1,1,controller,no,w,1.0666666666666667,2024
312768,m_1_24,2024-03-24,split,4,sacy,skye,1.0,155,14,15,10,-1,0.87,118,0.33,3,1,2,0,scan,no,w,0.9333333333333333,2024
312768,m_1_24,2024-03-24,split,4,zellsis,viper,0.87,184,13,16,9,-3,0.74,126,0.28,3,3,0,0,flex,no,w,0.8125,2024
312768,m_1_24,2024-03-24,icebox,5,zellsis,killjoy,1.59,268,19,9,3,10,0.89,183,0.2,1,0,1,0,flex,no,w,2.111111111111111,2024
312768,m_1_24,2024-03-24,icebox,5,johnqt,viper,1.37,190,14,9,8,5,0.89,129,0.28,2,1,1,0,sentinel,yes,w,1.5555555555555556,2024
312768,m_1_24,2024-03-24,icebox,5,tenz,kayo,1.24,278,16,14,16,2,0.95,185,0.17,2,1,1,0,controller,no,w,1.1428571428571428,2024
312768,m_1_24,2024-03-24,icebox,5,sacy,gekko,1.13,202,17,13,3,4,0.84,118,0.22,0,1,-1,0,scan,no,w,1.3076923076923077,2024
312768,m_1_24,2024-03-24,icebox,5,zekken,jett,0.85,183,12,14,4,-2,0.79,129,0.21,6,5,1,0,duelist,no,w,0.8571428571428571,2024
427996,amer_k_25,2025-01-18,split,1,n4rrate,breach,1.04,184,12,14,12,-2,0.76,119,0.22,1,1,0,0,flex,no,l,0.8571428571428571,2025
427996,amer_k_25,2025-01-18,split,1,johnqt,tejo,0.98,242,13,15,5,-2,0.65,148,0.21,1,0,1,1,scan,yes,l,0.8666666666666667,2025
427996,amer_k_25,2025-01-18,split,1,zellsis,viper,0.75,192,11,14,3,-3,0.59,125,0.26,1,3,-2,0,sentinel,no,l,0.7857142857142857,2025
427996,amer_k_25,2025-01-18,split,1,zekken,yoru,0.71,196,11,15,3,-4,0.76,130,0.11,2,4,-2,0,duelist,no,l,0.7333333333333333,2025
427996,amer_k_25,2025-01-18,split,1,bang,omen,0.44,160,8,16,3,-8,0.71,126,0.32,2,2,0,0,controller,no,l,0.5,2025
427996,amer_k_25,2025-01-18,bind,2,johnqt,tejo,1.41,197,16,11,7,5,0.82,137,0.32,1,0,1,0,scan,yes,w,1.4545454545454546,2025
427996,amer_k_25,2025-01-18,bind,2,zekken,raze,1.27,229,20,13,4,7,0.86,151,0.17,4,4,0,0,duelist,no,w,1.5384615384615385,2025
427996,amer_k_25,2025-01-18,bind,2,bang,viper,1.18,229,19,13,5,6,0.77,151,0.34,2,3,-1,0,controller,no,w,1.4615384615384615,2025
427996,amer_k_25,2025-01-18,bind,2,zellsis,brimstone,0.99,155,11,13,9,-2,0.73,90,0.26,3,2,1,0,sentinel,no,w,0.8461538461538461,2025
427996,amer_k_25,2025-01-18,bind,2,n4rrate,gekko,0.95,222,16,17,8,-1,0.73,150,0.22,3,0,3,0,flex,no,w,0.9411764705882353,2025
427996,amer_k_25,2025-01-18,pearl,3,johnqt,tejo,1.56,237,22,10,3,12,0.91,146,0.25,1,0,1,0,scan,yes,w,2.2,2025
427996,amer_k_25,2025-01-18,pearl,3,n4rrate,fade,1.28,231,17,15,10,2,0.86,172,0.31,1,0,1,0,flex,no,w,1.1333333333333333,2025
427996,amer_k_25,2025-01-18,pearl,3,bang,astra,1.18,175,15,13,10,2,0.86,109,0.3,1,1,0,1,controller,no,w,1.1538461538461537,2025
427996,amer_k_25,2025-01-18,pearl,3,zekken,yoru,1.07,227,17,16,7,1,0.77,147,0.17,8,6,2,1,duelist,no,w,1.0625,2025
