match_id,event,year,map,player,agent,rating,acs,kills,deaths,assists,plus_minus_kd,kast,adr,hs_perc,first_kills,first_deaths,plus_minus_fkd,clutches
427996,americas_kickoff_2025,2025,split,zellsis,viper,1.1,205,18,/ 15 /,2,3,68%,120,18%,1,3,-2,1
427996,americas_kickoff_2025,2025,split,n4rrate,breach,0.68,115,9,/ 15 /,9,-6,73%,69,6%,0,3,-3,0
427996,americas_kickoff_2025,2025,abyss,zellsis,kayo,1.31,268,20,/ 16 /,6,4,70%,163,34%,2,0,2,0
427996,americas_kickoff_2025,2025,abyss,bang,astra,0.84,167,11,/ 13 /,5,-2,75%,122,28%,1,4,-3,1
427996,americas_kickoff_2025,2025,abyss,zekken,jett,0.73,167,11,/ 14 /,2,-3,60%,111,16%,4,3,1,1
427996,americas_kickoff_2025,2025,abyss,johnqt,sova,0.66,132,9,/ 14 /,4,-5,65%,90,32%,0,0,0,0
427996,americas_kickoff_2025,2025,abyss,n4rrate,omen,0.29,104,6,/ 18 /,7,-12,50%,70,39%,1,5,-4,0
427996,americas_kickoff_2025,2025,pearl,n4rrate,fade,1.27,268,19,/ 15 /,7,4,85%,185,28%,1,3,-2,1
427996,americas_kickoff_2025,2025,pearl,bang,astra,1.05,191,14,/ 14 /,9,0,70%,116,33%,1,2,-1,1
427996,americas_kickoff_2025,2025,pearl,zekken,yoru,0.84,219,15,/ 19 /,5,-4,70%,131,30%,4,1,3,0
427996,americas_kickoff_2025,2025,pearl,johnqt,tejo,0.7,140,9,/ 15 /,4,-6,60%,96,27%,1,1,0,0
427996,americas_kickoff_2025,2025,pearl,zellsis,vyse,0.69,149,9,/ 16 /,4,-7,70%,115,26%,2,4,-2,0
427996,americas_kickoff_2025,2025,lotus,n4rrate,fade,1.64,270,19,/ 9 /,5,10,75%,174,26%,1,1,0,1
427996,americas_kickoff_2025,2025,lotus,zellsis,vyse,1.52,313,24,/ 12 /,5,12,70%,209,33%,3,1,2,0
427996,americas_kickoff_2025,2025,lotus,johnqt,viper,1.1,140,10,/ 10 /,10,0,70%,89,27%,1,0,1,0
427996,americas_kickoff_2025,2025,lotus,bang,omen,1.02,186,13,/ 13 /,6,0,70%,102,35%,4,2,2,0
427996,americas_kickoff_2025,2025,lotus,zekken,raze,0.79,178,10,/ 14 /,5,-4,75%,138,23%,3,4,-1,0
