match_id,event,opponent,map_name,map_num,round,buy,opp_buy,side,spike_planted,plant_time,fk_time,fk_player,fd_player,round_result,round_win,johnqt_k_pre,reduxx_k_pre,cortezia_k_pre,jonahp_k_pre,jerrwin_k_pre,n4rrate_k_pre,kyu_k_pre,victor_k_pre,johnqt_k_post,reduxx_k_post,cortezia_k_post,jonahp_k_post,jerrwin_k_post,n4rrate_k_post,kyu_k_post,victor_k_post
596410,amer_kickoff_2026,eg,pearl,2,18,f,f,ct,1.0,85.0,73,johnqt,,t_elim,0,2.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,1.0,
596410,amer_kickoff_2026,eg,pearl,2,19,sb,f,ct,0.0,,29,reduxx,,ct_elim,1,1.0,2.0,1.0,,,0.0,1.0,,,,,,,,,
596410,amer_kickoff_2026,eg,pearl,2,20,f,e,ct,1.0,27.0,26,,kyu,defuse,1,1.0,0.0,0.0,,,0.0,0.0,,3.0,1.0,1.0,,,,,
596410,amer_kickoff_2026,eg,pearl,2,21,f,f,ct,1.0,38.0,30,reduxx,,defuse,1,0.0,1.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,1.0,
596410,amer_kickoff_2026,eg,pearl,2,22,f,f,ct,0.0,,70,,n4rrate,ct_elim,1,1.0,0.0,4.0,,,0.0,0.0,,,,,,,,,
596410,amer_kickoff_2026,eg,pearl,2,23,f,sb,ct,0.0,,13,reduxx,,time_no_plant,1,0.0,1.0,1.0,,,2.0,0.0,,,,,,,,,
596410,amer_kickoff_2026,eg,pearl,2,24,f,sb,ct,0.0,,16,reduxx,,ct_elim,1,2.0,1.0,0.0,,,1.0,1.0,,,,,,,,,
596413,amer_kickoff_2026,100t,corrode,1,1,e,e,ct,1.0,75.0,12,kyu,,time_no_defuse,0,1.0,0.0,0.0,,,0.0,2.0,,0.0,0.0,2.0,,,,,
596413,amer_kickoff_2026,100t,corrode,1,2,e,sb,ct,1.0,56.0,73,,n4rrate,t_elim,0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,
596413,amer_kickoff_2026,100t,corrode,1,3,f,sb,ct,1.0,83.0,11,,n4rrate,defuse,1,1.0,0.0,0.0,,,0.0,0.0,,,0.0,2.0,,,,2.0,
596413,amer_kickoff_2026,100t,corrode,1,4,sb,sb,ct,0.0,,50,kyu,,ct_elim,1,2.0,0.0,2.0,,,0.0,1.0,,,,,,,,,
596413,amer_kickoff_2026,100t,corrode,1,5,f,sb,ct,1.0,77.0,42,johnqt,,t_elim,0,1.0,0.0,1.0,,,0.0,1.0,,,1.0,,,,,0.0,
596413,amer_kickoff_2026,100t,corrode,1,6,f,f,ct,1.0,28.0,12,reduxx,,defuse,1,1.0,1.0,0.0,,,0.0,0.0,,1.0,1.0,0.0,,,0.0,1.0,
596413,amer_kickoff_2026,100t,corrode,1,7,f,se,ct,1.0,87.0,62,johnqt,,t_elim,0,1.0,0.0,0.0,,,0.0,0.0,,0.0,,2.0,,,0.0,,
596413,amer_kickoff_2026,100t,corrode,1,8,f,f,ct,1.0,75.0,85,reduxx,,defuse,1,0.0,0.0,0.0,,,0.0,0.0,,4.0,1.0,0.0,,,0.0,0.0,
596413,amer_kickoff_2026,100t,corrode,1,9,f,f,ct,1.0,38.0,34,,reduxx,time_no_defuse,0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,
596413,amer_kickoff_2026,100t,corrode,1,10,f,f,ct,0.0,,65,reduxx,,ct_elim,1,0.0,1.0,3.0,,,1.0,0.0,,,,,,,,,
596413,amer_kickoff_2026,100t,corrode,1,11,f,f,ct,1.0,56.0,57,cortezia,,defuse,1,0.0,0.0,0.0,,,0.0,0.0,,3.0,0.0,1.0,,,0.0,2.0,
596413,amer_kickoff_2026,100t,corrode,1,12,f,sb,ct,1.0,94.0,28,,reduxx,defuse,1,3.0,0.0,0.0,,,0.0,1.0,,,,,,,,1.0,
596413,amer_kickoff_2026,100t,corrode,1,13,e,e,t,1.0,48.0,20,,cortezia,t_elim,1,0.0,2.0,0.0,,,1.0,1.0,,,0.0,,,,1.0,0.0,
596413,amer_kickoff_2026,100t,corrode,1,14,sb,e,t,0.0,,27,,reduxx,t_elim,1,5.0,0.0,0.0,,,0.0,0.0,,,,,,,,,
596413,amer_kickoff_2026,100t,corrode,1,15,sb,sb,t,0.0,,11,,reduxx,ct_elim,0,0.0,0.0,1.0,,,0.0,0.0,,,,,,,,,
596413,amer_kickoff_2026,100t,corrode,1,16,f,f,t,0.0,,20,reduxx,,ct_elim,0,0.0,1.0,0.0,,,0.0,1.0,,,,,,,,,
596413,amer_kickoff_2026,100t,corrode,1,17,se,f,t,0.0,,55,,kyu,ct_elim,0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,
596413,amer_kickoff_2026,100t,corrode,1,18,f,f,t,0.0,,28,,reduxx,ct_elim,0,0.0,0.0,0.0,,,1.0,1.0,,,,,,,,,
596413,amer_kickoff_2026,100t,corrode,1,19,sb,f,t,0.0,,30,cortezia,,time_no_plant,0,0.0,0.0,1.0,,,0.0,0.0,,,,,,,,,
596413,amer_kickoff_2026,100t,corrode,1,20,sb,f,t,1.0,90.0,37,,reduxx,defuse,0,1.0,0.0,0.0,,,0.0,0.0,,,,,,,,0.0,
596413,amer_kickoff_2026,100t,corrode,1,21,f,f,t,1.0,31.0,8,n4rrate,,t_elim,1,1.0,0.0,0.0,,,2.0,0.0,,0.0,0.0,0.0,,,1.0,1.0,
596413,amer_kickoff_2026,100t,corrode,1,22,f,f,t,1.0,65.0,34,,kyu,defuse,0,0.0,0.0,0.0,,,1.0,0.0,,0.0,0.0,0.0,,,1.0,,
596413,amer_kickoff_2026,100t,corrode,1,23,f,f,t,0.0,,10,johnqt,,t_elim,1,4.0,0.0,1.0,,,0.0,0.0,,,,,,,,,
596413,amer_kickoff_2026,100t,corrode,1,24,f,f,t,0.0,,46,reduxx,,ct_elim,0,1.0,1.0,0.0,,,0.0,0.0,,,,,,,,,
596413,amer_kickoff_2026,100t,split,2,1,e,e,ct,1.0,39.0,22,,n4rrate,defuse,1,0.0,1.0,0.0,,,0.0,1.0,,1.0,,2.0,,,,,
596413,amer_kickoff_2026,100t,split,2,2,sb,e,ct,1.0,75.0,65,reduxx,,defuse,1,0.0,2.0,0.0,,,0.0,1.0,,0.0,1.0,0.0,,,1.0,,
596413,amer_kickoff_2026,100t,split,2,3,sb,f,ct,1.0,73.0,17,,reduxx,t_elim,0,0.0,0.0,1.0,,,0.0,1.0,,,,,,,0.0,0.0,
596413,amer_kickoff_2026,100t,split,2,4,f,f,ct,1.0,97.0,27,n4rrate,,t_elim,0,0.0,0.0,0.0,,,1.0,2.0,,0.0,,,,,,,
596413,amer_kickoff_2026,100t,split,2,5,se,f,ct,1.0,71.0,5,n4rrate,,time_no_defuse,0,0.0,0.0,0.0,,,1.0,0.0,,0.0,0.0,1.0,,,,0.0,
596413,amer_kickoff_2026,100t,split,2,6,f,f,ct,1.0,46.0,15,,johnqt,t_elim,0,0.0,1.0,1.0,,,0.0,0.0,,,,,,,0.0,,
596413,amer_kickoff_2026,100t,split,2,7,f,f,ct,1.0,39.0,52,,n4rrate,t_elim,0,0.0,0.0,0.0,,,0.0,0.0,,0.0,1.0,0.0,,,0.0,0.0,
596413,amer_kickoff_2026,100t,split,2,8,se,f,ct,1.0,34.0,5,,reduxx,time_no_defuse,0,0.0,0.0,0.0,,,0.0,1.0,,,,0.0,,,,0.0,
596413,amer_kickoff_2026,100t,split,2,9,f,f,ct,1.0,100.0,41,,reduxx,defuse,1,0.0,0.0,1.0,,,0.0,3.0,,1.0,,,,,0.0,,
596413,amer_kickoff_2026,100t,split,2,10,f,f,ct,1.0,95.0,38,n4rrate,,defuse,1,1.0,0.0,1.0,,,2.0,0.0,,,1.0,0.0,,,,,
