player,rating,acs,kd,kast,adr,kpr,apr,fk_fd_ratio,fkpr,fdpr,hs_percent,cl_percent
infiltratorKRÜ,0.86,205.8,0.84,0.68,133.4,0.7,0.21,0.74,0.14,0.19,0.27,0.13
jawgemoG2,0.85,196.3,0.85,0.71,127.5,0.65,0.3,1.0,0.18,0.18,0.2,0.14
corteziaSEN,0.85,175.6,0.85,0.67,126.2,0.59,0.2,0.93,0.07,0.08,0.31,0.11
EggsterrENVY,0.85,180.8,0.88,0.69,115.5,0.64,0.23,0.79,0.11,0.14,0.27,0.13
ZellsisC9,0.83,150.0,0.71,0.72,93.3,0.49,0.49,0.7,0.05,0.08,0.18,0.08
P0PPINENVY,0.83,178.4,0.84,0.7,114.6,0.62,0.27,1.27,0.11,0.09,0.29,0.0
texMIBR,0.82,165.2,0.84,0.69,108.4,0.6,0.21,0.76,0.09,0.11,0.3,0.08
spikeLEV,0.81,172.5,0.79,0.69,112.8,0.59,0.31,1.09,0.1,0.1,0.26,0.11
N4RRATESEN,0.8,187.1,0.79,0.69,124.3,0.62,0.23,0.96,0.14,0.14,0.22,0.0
cauanzinLOUD,0.79,162.6,0.77,0.71,109.8,0.58,0.27,0.44,0.05,0.11,0.24,0.0
VirtyyLOUD,0.75,171.3,0.82,0.64,107.7,0.64,0.16,0.52,0.09,0.17,0.21,0.15
GovernorKRÜ,0.71,148.3,0.65,0.63,100.6,0.51,0.28,0.4,0.05,0.12,0.24,0.1
